903216,8.13,948,388,17080
903230,8.13,964,456,16824
903244,8.11,912,392,16904
903258,8.13,908,320,16908
903272,8.11,912,324,16820
903286,8.13,876,428,16836
903300,7.70,880,336,16788
903314,7.65,940,348,16988
903328,8.13,968,392,16776
903342,8.13,968,348,17000
903356,8.13,964,328,16856
903370,8.11,1076,420,16748
903384,8.13,984,412,16912
903398,8.13,952,428,16940
903412,7.70,928,428,16916
903426,8.13,888,316,16876
903440,7.65,964,416,16828
903454,7.63,956,376,16920
903468,8.13,944,332,16904
903482,8.13,932,344,16864
903496,8.13,960,380,16812
903510,8.11,900,392,16764
903524,8.13,940,284,16940
903538,8.13,952,416,17004
903552,8.13,916,352,16944
903566,8.13,892,424,16908
903580,8.13,1016,452,16700
903594,8.13,988,416,16948
903608,8.13,1028,476,16936
903622,8.13,816,448,16908
903636,8.13,880,404,16832
903650,8.13,956,312,16956
903664,8.11,1000,392,16848
903678,8.13,960,348,16932
903692,8.11,908,396,16804
903706,8.13,896,432,16796
903720,8.13,908,420,16928
903734,8.13,932,420,17024
903748,8.13,960,404,16828
903762,8.13,944,356,16792
903776,8.13,960,384,16988
903790,7.72,920,340,16800
