686505,4.41,1604,-928,18772
686519,3.74,-1884,2692,21088
686533,4.34,3140,2064,19192
686547,4.10,632,-1232,20056
686561,4.29,104,76,16332
686575,4.46,1580,832,16816
686589,5.06,128,-32,16492
686603,4.36,-448,44,16244
686617,3.62,732,316,15880
686631,5.11,652,-8,15668
686645,3.93,800,160,15204
686659,5.01,1152,544,16896
686673,4.70,1368,784,16228
686687,4.89,1196,368,17208
686701,5.49,1924,528,16980
686715,5.18,2260,544,17328
686729,5.37,1952,592,17164
686743,5.49,1488,172,18644
686757,5.18,1200,376,17544
686771,6.26,856,436,17100
686785,5.49,620,360,17228
686799,6.09,616,260,16680
686813,5.78,400,220,16308
686827,6.81,220,252,16504
686841,6.09,536,320,16048
686855,6.69,796,420,16288
686869,6.33,968,452,16228
686883,6.50,976,412,16704
686897,6.62,1528,424,16308
686911,7.22,1804,304,17320
686925,6.91,1740,328,17368
686939,7.03,1536,540,17388
686953,8.06,1168,512,17480
686967,7.70,944,520,17472
686981,7.46,864,440,17416
686995,8.01,656,372,16704
687009,8.11,832,268,16604
687023,8.25,520,208,16676
687037,7.94,552,328,16528
687051,8.49,720,484,16340
687065,8.18,792,364,16568
687079,8.30,876,468,16576
687093,8.83,1196,520,16624
687107,8.95,1436,504,16936
687121,9.09,1464,288,17144
687135,8.78,1560,580,16992
687149,9.26,1372,412,17424
687163,9.43,1212,464,16932
687177,9.57,1096,444,17112
687191,9.21,956,456,17140
687205,9.26,908,424,16728
687219,9.38,640,396,16788
687233,9.98,696,416,16540
687247,9.62,788,364,16536
687261,9.67,916,216,16620
687276,10.22,1104,384,16520
687291,10.34,1424,520,16948
687305,10.05,1312,516,17212
687320,10.58,1148,516,17272
687335,10.65,996,484,17060
687350,10.75,764,320,16964
687365,10.82,656,396,16436
687380,10.53,1064,312,16488
687395,11.06,1148,360,16880
687410,11.54,1464,448,17040
687425,11.25,1112,468,17260
687440,10.87,928,428,16892
687455,11.42,864,400,16908
687470,11.06,712,368,16560
687485,11.61,916,292,16696
687500,11.66,1312,484,16892
687515,11.30,1152,504,16780
687530,11.85,1188,328,17296
687545,12.38,1236,284,17012
687560,12.02,1004,232,16476
687575,11.66,1008,192,16728
687590,11.71,1028,340,16640
687605,12.21,1200,464,16892
687620,12.74,1212,628,16972
687635,12.38,1000,564,17188
687650,12.45,932,544,16960
687665,12.50,760,368,16796
687680,12.57,924,360,16488
687695,12.21,1028,300,16820
687710,12.28,1260,344,16576
687725,12.74,1364,364,16888
687740,12.81,1104,300,17092
687755,12.86,976,296,16756
687770,12.91,900,332,16716
687785,12.57,1052,460,16676
687800,12.98,1164,516,16796
687815,12.62,1112,568,16928
687830,13.10,1056,608,17120
687845,13.15,1100,628,16956
687860,13.22,900,444,16960
687875,13.22,864,344,16704
687890,13.29,1044,160,16788
687905,13.34,1292,184,16836
687920,12.91,1276,260,16960
687935,13.41,1136,400,16932
687950,13.39,1004,420,16952
687965,13.46,872,524,16796
687980,13.46,952,496,16664
687995,13.51,944,408,16820
688010,13.51,1132,504,16872
688025,13.58,1104,396,17036
688040,13.58,1292,336,16840
688055,14.06,1064,124,16832
688070,13.63,1184,200,16672
688085,14.06,780,324,16544
688100,13.63,1000,396,17036
688115,13.63,1064,528,16912
688130,13.70,1168,628,16960
688145,14.11,1000,548,17096
688160,13.70,848,424,16988
688175,13.70,1088,520,16724
688190,14.18,956,260,16588
688205,13.70,1188,240,16764
688220,14.18,1180,320,16804
688235,14.18,1100,384,17020
688250,13.70,900,476,16792
688265,13.70,740,308,17024
688280,14.11,948,352,16772
688295,14.13,864,444,16664
688310,13.70,1068,460,16972
688325,13.69,1020,428,16884
688340,13.70,936,336,16868
688355,14.18,912,360,17100
688370,13.70,844,388,16832
688385,14.18,816,432,16852
688400,13.70,856,380,16908
688415,14.13,920,456,16820
688430,13.70,940,320,16924
688445,13.70,1020,408,16988
688460,13.70,920,448,16816
688475,13.27,888,316,16832
688490,14.11,848,444,16624
688505,13.70,892,428,16892
688520,14.11,896,404,16920
688535,13.70,1020,452,16740
688550,13.29,972,468,16936
688565,13.70,920,372,16856
688580,13.70,860,340,16892
688595,13.70,864,428,16872
688610,13.70,984,368,16752
688625,13.70,1024,324,16792
688640,13.27,960,348,16908
688655,13.70,988,464,16948
688670,14.11,836,392,17152
688685,14.11,904,432,16776
688700,13.70,872,368,16716
688715,13.70,884,404,16944
688730,14.13,928,320,16808
688745,13.70,996,348,16992
688760,13.70,996,420,16892
